"KODE","NAMA_REK","TAHUN","SKT","PREFIX"
"41010203",BBNKB-Mobil Penumpang-Minibus,2025,,
"410102030001",BBNKB-Mobil Penumpang-Minibus,2025,,
"41010204",BBNKB-Mobil Bus-Microbus,2025,,
"410102040001",BBNKB-Mobil Bus-Microbus,2025,,
"41010205",BBNKB-Mobil Bus-Bus,2025,,
"410102050001",BBNKB-Mobil Bus-Bus,2025,,
"41010206",BBNKB-Mobil Barang/Beban-Pick Up,2025,,
"410102060001",BBNKB-Mobil Barang/Beban-Pick Up,2025,,
"41010207",BBNKB-Mobil Barang/Beban-Light Truck,2025,,
"410102070001",BBNKB-Mobil Barang/Beban-Light Truck,2025,,
"41010208",BBNKB-Mobil Barang/Beban-Truck,2025,,
"410102080001",BBNKB-Mobil Barang/Beban-Truck,2025,,
"41010209",BBNKB-Mobil Barang/Beban-Blind Van,2025,,
"410102090001",BBNKB-Mobil Barang/Beban-Blind Van,2025,,
"41010210",BBNKB-Sepeda Motor-Sepeda Motor Roda Dua,2025,,
"410102100001",BBNKB-Sepeda Motor-Sepeda Motor Roda Dua,2025,,
"41010211",BBNKB-Sepeda Motor-Sepeda Motor Roda Tiga,2025,,
"410102110001",BBNKB-Sepeda Motor-Sepeda Motor Roda Tiga,2025,,
"41010212",BBNKB-Kendaraan Bermotor yang Dioperasikan di Air,2025,,
"410102120001",BBNKB-Kendaraan Bermotor yang Dioperasikan di Air,2025,,
"41010213",BBNKB-Kendaraan Khusus Alat Berat,2025,,
"410102130001",BBNKB-Kendaraan Khusus Alat Berat,2025,,
"41010214",BBNKB-Mobil Roda Tiga,2025,,
"410102140001",BBNKB-Mobil Roda Tiga,2025,,
"410103",Pajak Bahan Bakar Kendaraan Bermotor (PBBKB),2025,PBBKB,"003"
"41010301",PBBKB-Bahan Bakar Bensin,2025,,
"410103010001",PBBKB Bahan Bakar Bensin,2025,,
"41010302",PBBKB-Bahan Bakar Solar,2025,,
"410103020001",PBBKB Bahan Bakar Solar,2025,,
"41010303",PBBKB-Bahan Bakar Gas,2025,,
"410103030001",PBBKB Bahan Bakar Gas,2025,,
"41010304",PBBKB-Bahan Bakar Lainnya,2025,,
"410103040001",PBBKB Bahan Bakar Lainnya,2025,,
"410104",Pajak Air Permukaan,2025,PAP,"004"
"410104",Pajak Air Permukaan,2025,PAP,"009"
"41010401",Pajak Air Permukaan,2025,,
"410104010001",Pajak Air Permukaan,2025,,
"410105",Pajak Rokok,2025,PRK,"005"
"41010501",Pajak Rokok,2025,,
"410105010001",Pajak Rokok,2025,,
"410106",Pajak Hotel,2025,,
"41010601",Pajak Hotel,2025,,
"410106010001",Pajak Hotel,2025,,
"41010602",Pajak Motel,2025,,
"410106020001",Pajak Motel,2025,,
"41010603",Pajak Losmen,2025,,
"410106030001",Pajak Losmen,2025,,
"41010604",Pajak Gubuk Pariwisata,2025,,
"410106040001",Pajak Gubuk Pariwisata,2025,,
"41010605",Pajak Wisma Pariwisata,2025,,
"410106050001",Pajak Wisma Pariwisata,2025,,
"41010606",Pajak Pesanggrahan,2025,,
"410106060001",Pajak Pesanggrahan,2025,,
"41010607",Pajak Rumah Penginapan dan Sejenisnya,2025,,
"410106070001",Pajak Rumah Penginapan dan Sejenisnya,2025,,
"41010608",Pajak Rumah Kos dengan Jumlah Kamar Lebih dari 10 (Sepuluh),2025,,
"410106080001",Pajak Rumah Kos dengan Jumlah Kamar Lebih dari 10 (Sepuluh),2025,,
"410107",Pajak Restoran,2025,,
"41010701",Pajak Restoran dan Sejenisnya,2025,,
"410107010001",Pajak Restoran dan Sejenisnya,2025,,
"41010702",Pajak Rumah Makan dan Sejenisnya,2025,,
"410107020001",Pajak Rumah Makan dan Sejenisnya,2025,,
"41010703",Pajak Kafetaria dan Sejenisnya,2025,,
"410107030001",Pajak Kafetaria dan Sejenisnya,2025,,
"41010704",Pajak Kantin dan Sejenisnya,2025,,
"410107040001",Pajak Kantin dan Sejenisnya,2025,,
"41010705",Pajak Warung dan Sejenisnya,2025,,
"410107050001",Pajak Warung dan Sejenisnya,2025,,
"41010706",Pajak Bar dan Sejenisnya,2025,,
"410107060001",Pajak Bar dan Sejenisnya,2025,,
"41010707",Pajak Jasa Boga/Katering dan Sejenisnya,2025,,
"410107070001",Pajak Jasa Boga/Katering dan Sejenisnya,2025,,
"410108",Pajak Hiburan,2025,,
"41010801",Pajak Tontonan Film,2025,,
"410108010001",Pajak Tontonan Film,2025,,
"41010802",Pajak Pagelaran Kesenian/Musik/Tari/ Busana,2025,,
"410108020001",Pajak Pagelaran Kesenian/Musik/Tari/ Busana,2025,,
"41010803","Pajak Kontes Kecantikan, Binaraga, dan Sejenisnya",2025,,
"410108030001","Pajak Kontes Kecantikan, Binaraga, dan Sejenisnya",2025,,
"41010804",Pajak Pameran,2025,,
"410108040001",Pajak Pameran,2025,,
"41010805","Pajak Diskotik, Karaoke, Klub Malam, dan Sejenisnya",2025,,
"410108050001","Pajak Diskotik, Karaoke, Klub Malam, dan Sejenisnya",2025,,
"41010806",Pajak Sirkus/Akrobat/Sulap,2025,,
"410108060001",Pajak Sirkus/Akrobat/Sulap,2025,,
"41010807",Pajak Permainan Biliar dan Bowling,2025,,
"410108070001",Pajak Permainan Biliar dan Bowling,2025,,
"41010808","Pajak Pacuan Kuda, Kendaraan Bermotor, dan Permainan Ketangkasan",2025,,
"410108080001","Pajak Pacuan Kuda, Kendaraan Bermotor, dan Permainan Ketangkasan",2025,,
"41010809","Pajak Panti Pijat, Refleksi, Mandi Uap/Spa dan Pusat Kebugaran (Fitness Center)",2025,,
"410108090001","Pajak Panti Pijat, Refleksi, Mandi Uap/Spa dan Pusat Kebugaran (Fitness Center)",2025,,
"41010810",Pajak Pertandingan Olahraga,2025,,
"410108100001",Pajak Pertandingan Olahraga,2025,,
